id_evento,Estacion,Real_izq_der,Estimacion_izq_der,Real_distance,Estimacion_distance,Real_baz,Estimacion_baz,Distancia_Costa,costero,lat,lon
2015_09_24 08_54_04_M4_4,CO02,1.0,1.0,134.7811868,144.377136230469,237.7951944,234.984725952148,61.890,1.0,-31.8459,-72.2052
2015_09_24 13_35_54_M4_7,CO02,1.0,1.0,76.67970858,76.6023254394531,232.3030815,220.358444213867,61.890,1.0,-31.625,-71.6398
2015_09_24 16_13_25_M5_2,CO02,1.0,1.0,63.62643935,69.2495956420899,325.498718299999,321.794860839844,61.890,0.0,-30.7302,-71.3766
2015_09_24 18_20_30_M4_5,CO02,1.0,1.0,67.31399531,56.4290351867676,300.2171274,292.360473632812,61.890,1.0,-30.8967,-71.6087
2015_09_25 02_59_47_M4_4,CO02,1.0,1.0,171.2206464,207.900146484375,224.1417386,229.694107055664,61.890,1.0,-32.3056,-72.2664
2015_09_26 02_51_18_M6_3,CO02,1.0,1.0,52.92535837,63.6334571838379,324.4725865,315.738708496094,61.890,0.0,-30.8148,-71.3217
2015_09_26 03_47_11_M4_2,CO02,1.0,1.0,61.31382315,60.0073089599609,323.0786845,318.457977294922,61.890,0.0,-30.761,-71.385
2015_09_26 06_16_31_M4_2,CO02,1.0,1.0,125.4638059,132.187652587891,236.4456228,234.790237426758,61.890,1.0,-31.8244,-72.1047
2015_09_27 21_04_45_M5_4,CO02,1.0,1.0,84.25466686,80.1045913696289,232.0601849,237.639465332031,61.890,1.0,-31.669,-71.701
2015_09_28 04_16_09_M4_1,CO02,1.0,1.0,57.40794273,53.4839096069336,250.6263234,296.536224365234,61.890,1.0,-31.3742,-71.5696
2015_09_29 16_46_15_M4_4,CO02,1.0,1.0,106.4408284,123.155059814453,249.386805,260.316040039062,61.890,1.0,-31.5374,-72.0494
2015_09_30 01_06_59_M4_2,CO02,1.0,1.0,75.48599717,75.062370300293,243.7916473,243.399719238281,61.890,1.0,-31.5024,-71.7132
2015_11_27 21_00_22_M6_2,PB10,1.0,1.0,145.6835822,140.705413818359,181.860261493805,195.166381835938,2.483,1.0,-24.828,-70.6009
2016_02_10 00_33_05_M6_3,GO04,1.0,1.0,87.45805154,103.353004455566,239.3700339,267.223846435547,57.291,1.0,-30.5723,-71.5838
2016_02_10 13_15_01_M4_4,CO02,1.0,1.0,103.6219839,94.1027069091797,310.3437183,310.666900634766,61.890,1.0,-30.596,-71.8238
2016_02_25 11_27_54_M4_7,CO02,1.0,1.0,65.18252077,65.2746276855469,315.287987099999,313.55908203125,61.890,0.0,-30.785,-71.4794
2016_02_25 11_49_13_M4_3,CO03,1.0,1.0,96.79398449,69.1754760742188,273.9848876,269.143981933594,96.002,1.0,-30.7743,-71.6978
2016_03_14 10_26_19_M4_6,CO02,1.0,1.0,138.9510895,139.673278808594,213.558041,222.63264465332,61.890,1.0,-32.2454,-71.8153
2016_03_20 22_30_22_M4_3,CO02,1.0,1.0,65.34464508,63.4651679992676,209.6741895,210.851440429687,61.890,0.0,-31.7153,-71.3416
2016_03_20 23_23_10_M4_5,CO02,1.0,1.0,78.79398484,76.216064453125,249.4686397,243.109924316406,61.890,1.0,-31.4506,-71.7766
2016_04_06 17_35_38_M5_3,CO02,1.0,1.0,80.68923084,74.8345489501953,247.211270000001,255.883117675781,61.890,1.0,-31.4832,-71.7832
2016_05_19 19_25_52_M4_4,CO02,1.0,1.0,127.1748794,134.991165161133,236.1054869,243.276275634766,61.890,1.0,-31.8385,-72.1155
2016_05_30 12_41_55_M4_7,CO02,1.0,1.0,64.89475265,69.8406219482422,219.9248003,213.15510559082,61.890,1.0,-31.6518,-71.4394
2016_06_17 03_48_38_M4_5,CO02,1.0,1.0,138.3580336,140.978942871094,336.0644401,328.529052734375,61.890,1.0,-30.0617,-71.5824
2016_06_17 06_38_25_M4_8,CO02,1.0,1.0,94.12662521,92.7810668945313,309.5387717,296.965576171875,61.890,1.0,-30.661,-71.7577
2016_06_22 09_58_38_M4_1,CO02,1.0,1.0,120.753067,120.18083190918,269.3613337,273.414642333984,61.890,1.0,-31.2096,-72.2674
